Sales,Shipping_Duration_Days,Order_Year,Order_Month,Order_Day,Order_Weekday,Category_Office Supplies,Category_Technology,Sub-Category_Appliances,Sub-Category_Art,Sub-Category_Binders,Sub-Category_Bookcases,Sub-Category_Chairs,Sub-Category_Copiers,Sub-Category_Envelopes,Sub-Category_Fasteners,Sub-Category_Furnishings,Sub-Category_Labels,Sub-Category_Machines,Sub-Category_Paper,Sub-Category_Phones,Sub-Category_Storage,Sub-Category_Supplies,Sub-Category_Tables,Segment_Corporate,Segment_Home Office,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Region_East,Region_South,Region_West,State_Encoded,City_Grouped_Columbus,City_Grouped_Houston,City_Grouped_Los Angeles,City_Grouped_New York City,City_Grouped_Other,City_Grouped_Philadelphia,City_Grouped_San Diego,City_Grouped_San Francisco,City_Grouped_Seattle,City_Grouped_Springfield,Sales_per_Product
261.96,3,2017,11,8,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,15,False,False,False,False,True,False,False,False,False,False,315.98924999999997
731.94,3,2017,11,8,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,15,False,False,False,False,True,False,False,False,False,False,886.4606666666667
14.62,4,2017,6,12,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,3,False,False,True,False,False,False,False,False,False,False,21.93
957.5775,7,2016,10,11,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,8,False,False,False,False,True,False,False,False,False,False,905.346
22.368,7,2016,10,11,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,8,False,False,False,False,True,False,False,False,False,False,60.39359999999999
48.86,5,2015,6,9,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,3,False,False,True,False,False,False,False,False,False,False,32.108000000000004
7.28,5,2015,6,9,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,3,False,False,True,False,False,False,False,False,False,False,5.096
907.152,5,2015,6,9,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,3,False,False,True,False,False,False,False,False,False,False,529.172
18.504,5,2015,6,9,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,3,False,False,True,False,False,False,False,False,False,False,21.5109
114.9,5,2015,6,9,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,3,False,False,True,False,False,False,False,False,False,False,66.31371428571428
1706.184,5,2015,6,9,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,3,False,False,True,False,False,False,False,False,False,False,550.297
911.424,5,2015,6,9,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,3,False,False,True,False,False,False,False,False,False,False,555.399
15.552,5,2018,4,15,6,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,31,False,False,False,False,True,False,False,False,False,False,17.884800000000002
407.976,5,2017,12,5,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,45,False,False,False,False,False,False,False,False,True,False,386.72725
68.81,4,2016,11,22,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,41,False,False,False,False,True,False,False,False,False,False,138.30810000000002
2.544,4,2016,11,22,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,41,False,False,False,False,True,False,False,False,False,False,11.766
665.88,7,2015,11,11,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,47,False,False,False,False,True,False,False,False,False,False,510.508
55.5,2,2015,5,13,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,42,False,False,False,False,True,False,False,False,False,False,119.325
8.56,5,2015,8,27,3,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,3,False,False,False,False,False,False,False,True,False,False,13.818285714285716
213.48,5,2015,8,27,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,3,False,False,False,False,False,False,False,True,False,False,213.48
22.72,5,2015,8,27,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,3,False,False,False,False,False,False,False,True,False,False,20.488571428571426
19.46,4,2017,12,9,5,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,25,False,False,False,False,True,False,False,False,False,False,12.3432
60.34,4,2017,12,9,5,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,25,False,False,False,False,True,False,False,False,False,False,37.497
71.372,2,2018,7,16,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,36,False,False,False,False,False,True,False,False,False,False,109.24285714285715
1044.63,5,2016,9,25,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,42,False,False,False,False,True,False,False,False,False,False,905.346
11.648,4,2017,1,16,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,3,False,False,True,False,False,False,False,False,False,False,19.170666666666666
90.57,4,2017,1,16,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,3,False,False,True,False,False,False,False,False,False,False,116.73466666666666
3083.43,4,2016,9,17,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,36,False,False,False,False,False,True,False,False,False,False,3122.19312
9.618,4,2016,9,17,5,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,36,False,False,False,False,False,True,False,False,False,False,28.167
124.2,4,2016,9,17,5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,36,False,False,False,False,False,True,False,False,False,False,147.2
3.264,4,2016,9,17,5,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,36,False,False,False,False,False,True,False,False,False,False,6.194181818181818
86.304,4,2016,9,17,5,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,36,False,False,False,False,False,True,False,False,False,False,82.708
6.858,4,2016,9,17,5,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,36,False,False,False,False,False,True,False,False,False,False,7.953375
15.76,4,2016,9,17,5,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,36,False,False,False,False,False,True,False,False,False,False,28.564999999999998
29.472,4,2018,10,19,4,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,41,False,True,False,False,False,False,False,False,False,False,54.86718181818182
1097.544,2,2017,12,8,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,41,False,False,False,False,True,False,False,False,False,False,587.97
190.92,2,2017,12,8,4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,41,False,False,False,False,True,False,False,False,False,False,572.76
113.328,4,2016,12,27,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,41,False,True,False,False,False,False,False,False,False,False,88.144
532.3992,4,2016,12,27,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,41,False,True,False,False,False,False,False,False,False,False,942.464025
