Order_Year,Order_Month,Sales,Region_East,Region_South,Region_West,City_Grouped_Columbus,City_Grouped_Detroit,City_Grouped_Houston,City_Grouped_Los Angeles,City_Grouped_New York City,City_Grouped_Other,City_Grouped_Philadelphia,City_Grouped_San Diego,City_Grouped_San Francisco,City_Grouped_Seattle,Pname
2017,6,23.976,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2014,12,39.96,False,False,False,False,False,False,False,False,True,False,False,False,False,0
2015,11,39.96,False,True,False,False,False,False,False,False,True,False,False,False,False,0
2014,12,23.976,False,False,False,False,False,True,False,False,False,False,False,False,False,0
2015,12,79.92,False,False,True,False,False,False,True,False,False,False,False,False,False,0
2017,1,31.968,True,False,False,False,False,False,False,False,False,True,False,False,False,0
2016,4,111.888,False,False,True,False,False,False,False,False,True,False,False,False,False,0
2017,9,199.8,False,False,True,False,False,False,False,False,False,False,False,False,True,0
2016,10,47.952,False,True,False,False,False,False,False,False,True,False,False,False,False,1
2017,10,19.98,True,False,False,False,False,False,False,False,True,False,False,False,False,1
2014,5,139.86,True,False,False,False,False,False,False,False,True,False,False,False,False,1
2015,7,159.84,False,True,False,False,False,False,False,False,True,False,False,False,False,1
2016,1,79.92,False,False,True,False,False,False,False,False,False,False,False,False,True,1
2017,5,39.96,False,False,True,False,False,False,False,False,False,False,False,False,True,1
2015,3,33.568,True,False,False,False,False,False,False,False,True,False,False,False,False,2
2016,5,25.176,False,False,False,False,False,False,False,False,False,False,False,False,False,2
2017,8,16.784,False,False,False,False,False,True,False,False,False,False,False,False,False,2
2016,5,167.84,False,False,True,False,False,False,True,False,False,False,False,False,False,2
2017,10,41.96,False,False,True,False,False,False,False,False,True,False,False,False,False,2
2017,7,83.92,True,False,False,False,False,False,False,False,True,False,False,False,False,2
2014,6,22.2,False,True,False,False,False,False,False,False,True,False,False,False,False,3
2015,5,22.2,True,False,False,False,False,False,False,False,True,False,False,False,False,3
2017,12,2.96,False,False,False,False,False,False,False,False,True,False,False,False,False,3
2015,12,2.96,True,False,False,False,False,False,False,False,False,True,False,False,False,3
2017,4,23.68,False,True,False,False,False,False,False,False,True,False,False,False,False,3
2016,12,11.84,False,False,True,False,False,False,False,False,True,False,False,False,False,3
2017,12,7.4,False,False,True,False,False,False,False,False,False,False,False,False,True,3
2016,12,14.8,False,False,True,False,False,False,False,False,True,False,False,False,False,3
2015,3,22.38,False,False,False,False,False,True,False,False,False,False,False,False,False,4
2016,12,111.9,False,False,True,False,False,False,True,False,False,False,False,False,False,4
2016,5,44.76,False,True,False,False,False,False,False,False,True,False,False,False,False,4
2016,11,37.3,False,False,False,False,False,False,False,False,True,False,False,False,False,4
2017,11,821.88,False,True,False,False,False,False,False,False,True,False,False,False,False,5
2017,4,273.96,False,False,False,False,False,False,False,False,True,False,False,False,False,5
2014,9,821.88,False,False,False,False,False,False,False,False,True,False,False,False,False,5
2016,11,273.96,False,True,False,False,False,False,False,False,True,False,False,False,False,5
2017,12,9.708,False,False,False,False,False,True,False,False,False,False,False,False,False,6
2016,9,58.248,True,False,False,False,False,False,False,False,False,True,False,False,False,6
2016,9,24.27,False,False,True,False,False,False,False,False,False,False,False,True,False,6
2017,9,32.36,False,False,True,False,False,False,False,False,False,False,False,True,False,6
2014,8,44.128,False,True,False,False,False,False,False,False,True,False,False,False,False,7
2014,7,124.11,True,False,False,False,False,False,False,False,True,False,False,False,False,7
2017,11,27.58,False,True,False,False,False,False,False,False,True,False,False,False,False,7
2015,10,11.032,False,False,True,False,False,False,False,False,True,False,False,False,False,7
2017,11,41.37,False,False,True,False,False,False,False,False,True,False,False,False,False,7
2017,11,96.53,True,False,False,False,False,False,False,True,False,False,False,False,False,7
2016,2,68.95,True,False,False,False,False,False,False,False,True,False,False,False,False,7
2016,5,41.37,True,False,False,False,False,False,False,False,True,False,False,False,False,7
2016,2,18.69,False,True,False,False,False,False,False,False,True,False,False,False,False,8
2017,12,8.544,False,False,True,False,False,False,False,False,True,False,False,False,False,8
2017,5,8.01,False,True,False,False,False,False,False,False,True,False,False,False,False,8
2015,9,21.36,False,True,False,False,False,False,False,False,True,False,False,False,False,8
2014,8,10.68,True,False,False,False,False,False,False,False,True,False,False,False,False,8
2015,3,6.408,False,True,False,False,False,False,False,False,True,False,False,False,False,8
2015,10,16.02,False,False,True,False,False,False,False,False,False,False,False,True,False,8
2014,6,4.272,False,False,True,False,False,False,False,False,True,False,False,False,False,8
2017,5,247.44,True,False,False,False,False,False,False,False,True,False,False,False,False,9
2017,3,30.93,False,False,True,False,False,False,False,False,True,False,False,False,False,9
2016,7,185.58,False,True,False,False,False,False,False,False,True,False,False,False,False,9
2015,11,185.58,False,False,False,False,False,False,False,False,True,False,False,False,False,9
2015,6,173.208,False,True,False,False,False,False,False,False,True,False,False,False,False,9
2016,3,21.88,True,False,False,True,False,False,False,False,False,False,False,False,False,10
2014,4,5.47,False,False,False,False,True,False,False,False,False,False,False,False,False,10
2017,12,8.752,False,False,False,False,False,True,False,False,False,False,False,False,False,10
2016,11,38.29,False,False,True,False,False,False,False,False,False,False,False,True,False,10
2014,9,13.128,False,True,False,False,False,False,False,False,True,False,False,False,False,10
2017,3,61.0,False,True,False,False,False,False,False,False,True,False,False,False,False,11
2015,9,24.4,False,False,True,False,False,False,True,False,False,False,False,False,False,11
2017,6,19.52,False,True,False,False,False,False,False,False,True,False,False,False,False,11
2014,7,19.52,False,True,False,False,False,False,False,False,True,False,False,False,False,11
2015,11,36.6,False,False,True,False,False,False,False,False,False,False,True,False,False,11
2016,8,109.8,False,True,False,False,False,False,False,False,True,False,False,False,False,11
2016,10,61.1,False,True,False,False,False,False,False,False,True,False,False,False,False,12
2016,9,68.432,False,False,True,False,False,False,False,False,True,False,False,False,False,12
2016,9,12.22,False,False,False,False,True,False,False,False,False,False,False,False,False,12
2017,9,29.328,False,False,True,False,False,False,False,False,True,False,False,False,False,12
2014,6,73.32,False,False,True,False,False,False,False,False,True,False,False,False,False,12
2015,9,27.414,True,False,False,False,False,False,False,True,False,False,False,False,False,13
2017,10,24.368,False,False,True,False,False,False,False,False,False,False,False,True,False,13
2017,1,62.72,False,True,False,True,False,False,False,False,False,False,False,False,False,14
2015,8,47.04,True,False,False,False,False,False,False,True,False,False,False,False,False,14
2016,6,47.04,True,False,False,False,False,False,False,False,True,False,False,False,False,14
2017,11,327.7328,False,False,False,False,False,False,False,False,True,False,False,False,False,15
2016,3,72.294,False,False,True,False,False,False,False,False,True,False,False,False,False,15
2017,9,782.94,True,False,False,False,False,False,False,False,True,False,False,False,False,16
2016,1,1565.88,False,False,False,False,False,False,False,False,True,False,False,False,False,16
2015,7,913.43,False,False,False,False,False,False,False,False,True,False,False,False,False,16
2015,12,532.3992,False,False,False,False,False,True,False,False,False,False,False,False,False,16
2016,10,1043.92,True,False,False,False,False,False,False,False,True,False,False,False,False,16
2015,10,626.352,True,False,False,False,False,False,False,True,False,False,False,False,False,16
2014,11,521.96,True,False,False,False,False,False,False,False,True,False,False,False,False,16
2015,8,1552.831,False,False,True,False,False,False,False,False,False,False,False,True,False,16
2017,7,1194.165,False,False,True,False,False,False,False,False,True,False,False,False,False,17
2015,12,590.058,False,False,True,False,False,False,False,False,True,False,False,False,False,17
2015,10,899.136,True,False,False,False,False,False,False,True,False,False,False,False,False,17
2015,12,449.568,True,False,False,False,False,False,False,True,False,False,False,False,False,17
2016,9,477.666,False,False,True,False,False,False,False,False,False,False,False,True,False,17
2014,12,1573.488,True,False,False,False,False,False,False,False,True,False,False,False,False,17
2017,5,204.6664,False,False,False,False,False,False,False,False,True,False,False,False,False,18
2017,9,180.588,False,False,True,False,False,False,False,False,True,False,False,False,False,18
2015,3,1227.9984,False,False,False,False,False,True,False,False,False,False,False,False,False,18
2015,11,613.9992,False,False,False,False,False,True,False,False,False,False,False,False,False,18
2017,3,1023.332,False,False,False,False,False,True,False,False,False,False,False,False,False,18
2016,9,722.352,True,False,False,False,False,False,False,True,False,False,False,False,False,18
2017,2,240.784,True,False,False,False,False,False,False,True,False,False,False,False,False,18
2016,7,1279.165,False,False,True,False,False,False,False,False,False,False,False,True,False,18
2016,11,876.3,False,True,False,False,False,False,False,False,True,False,False,False,False,19
2017,11,219.075,False,False,False,False,False,False,False,False,False,False,False,False,False,19
2014,11,292.1,False,False,False,False,False,False,False,False,True,False,False,False,False,19
2016,8,562.2925,False,True,False,False,False,False,False,False,True,False,False,False,False,19
